序号,名称,发布时间
124,China Claims 'Harassment' By Japanese Jets; Beijing Urges Tokyo To ‘Cease Slander’,2025-12-07
125,The China-Japan Situation Just Took a Dark Turn...,2025-12-07
126,China-Japan Tensions: Tokyo Reacts To China's Travel Warning For Japan | WION News,2025-11-16
127,China Escalates Spat With Japan Over Comments Made About Taiwan,2025-11-17
128,China slams Japan's missile deployment to island near Taiwan | East Asia Tonight Nov 24,2025-11-24
129,China-Japan Tension Explained,2025-11-29
130,'You're misguided' – Victor Gao fires back on Japan's remilitarization debate,2025-12-06
131,China turns the economic screws on Japan | DW News,2025-11-20
132,A Deep Dive Into China–Japan Tensions| Shaun Rein,2025-12-04
133,"Putin Backs Xi As Japan Plans To Deploy Missiles Near Taiwan, Issues Warning To Trump & Takaichi",2025-11-28
134,Japan Prepares for War to Ends China's Biggest Hopes—China Ready to Attack | John Mearsheimer,2025-12-03
135,China Demands Japan’s Takaichi Retract Taiwan Comments as Tensions Spike | WION,2025-11-18
136,China-Japan spat: Coast guard vessels engaged in standoff around Senkaku Islands,2025-12-02
137,China | Japan | Fighterjet | ஜப்பான் விமானத்தை தாக்க முயன்ற சீன போர் விமானம்... கடும் கண்டனம்,2025-12-08
138,Chinese and Japanese Ships in Standoff Near Diaoyutai Islands｜TaiwanPlus News,2025-12-02
139,Australia Calls China’s Radar Lock on Japanese Jets “Concerning” in Tokyo Talks | APT,2025-12-07
140,"FINAL WARNING from TOKYO: China Witnesses POWER of Japan! 1,000+ Missiles Deployed 110km from Taiwan",2025-11-26
141,Japan Warns China: Will Tokyo Join a U.S. War Over Taiwan?,2025-11-26
142,China-Japan Tensions: China Sends Coast Guard Ships Near Japan-Administered Senkaku Islands | WION,2025-11-17
143,Singapore PM Calls for China–Japan Reconciliation While Ignoring Japan’s Military Buildup,2025-12-07
144,Watch This If You’re Confused About Why China & Japan Are Arguing,2025-11-24
145,Japan PM Takaichi holds call with Trump amid China dispute | REUTERS,2025-11-25
146,How Japan’s PM set off a diplomatic row between Beijing and Tokyo,2025-11-19
147,Japan Preparing For War — China Ready To Attack,2025-12-05
148,CHINA WARNS JAPAN: Xi Explodes Over Missile Threat Near Taiwan,2025-11-25
149,How Japan Is Becoming China's Worst Nightmare,2025-11-23
150,Xi Jinping To Declare War On Japan? How Taiwan Leader’s Sushi Lunch Ignited Firestorm In China,2025-11-21
151,"China Coast Guard Vessels Near Japan's Senkaku Island, Xi Sends Jets, Warships To Rattle Taiwan | 4K",2025-11-16
152,China-Japan Tensions Spike Over Taiwan | The China Show 11/17/2025,2025-11-17
153,"China Vs Japan War Countdown Begins? Tokyo Puts Missiles Near Taiwan, Beijing Breathes Fire | Watch",2025-11-24
154,"China-Japan tensions: Nearly 500,000 flights to Japan cancelled",2025-11-18
155,What’s behind the sudden China-Japan fallout?,2025-11-21
156,Xi’s Biggest Taiwan Revenge: China Just Annihilated Japan’s $1.4 Billion Seafood Empire Overnight?,2025-11-19
157,Japan-China: Japan PM Takaichi's Taiwan Warning Sparks Fierce Backlash from China | WION,2025-11-18
158,China-Japan Rift Widens Following Taiwan Remark; Beijing Starts To Patrol In Disputed Senkaru Waters,2025-11-16
159,"China-Japan tension: ""Everyone is saying it’s time to dial this down""",2025-11-23
160,Edge of Collapse—Taiwan Strait Tensions. #military #war #china #japan #map #history,2025-12-06
161,Discovering impact on Japan’s private sector as Japan-China tensions escalate,2025-11-18
162,China Furious as Japan PM Takaichi Labels Beijing a ‘Communist Dictatorship’,2025-12-08
163,Japan Sends Missiles Near Taiwan as China Reacts,2025-11-24
164,What's the US role in current Japan-China tensions?,2025-11-21
165,Why Japan is WORSE Than Israel - China Will NEVER Forgive!🇨🇳🇯🇵,2025-11-30
166,"China-Japan LIVE | Senkaku Patrols, Travel Warning: China-Japan Row Over Taiwan Escalates",2025-11-18
167,CHINA SLAMS JAPAN WITH BRUTAL Taiwan History Allegations; Declares 'Tokyo Has No Right To Comment',2025-11-20
168,Japan Threatens China Over Taiwan - Chinese Destroying Japanese Economy,2025-11-18
169,China & Japan Involved In A War Of Words Over Taiwan | Explained | 4K | N18G,2025-11-20
170,"Japan, China 'Clash' Near Disputed Islands As Xi & Takaichi Trade Barbs Over Tokyo's Taiwan Stance",2025-12-02
171,Japan Crosses China’s Red Line: Takaichi Ignites Firestorm Over Taiwan,2025-12-04
172,Japan threatens military intervention if China invades Taiwan,2025-11-18
173,Japan Seeks to Calm China After Taiwan Furor | The China Show 11/18/2025,2025-11-18
174,"Japan–China Row Over Taiwan Escalates: Flights Cancelled, Films Delayed | Vantage With Palki Sharma",2025-11-18
175,China-Japan spat hits Beijing’s Japanese restaurants as cancellations surge,2025-12-02
176,Why China’s Military Cannot Defeat Japan Alone?,2025-11-18
177,Taiwan president shows support for Tokyo with photo of sushi as China-Japan rift deepens,2025-11-20
178,The China-Japan-Taiwan Crisis Explained | Angelo Giuliano @Reporterfy,2025-11-20
179,China warns Japan it’s READY FOR WAR in explosive video as missile launchers moved near to Taiwan,2025-11-24
180,Backlash for PM Wong’s Comments on China-Japan Tension & Tiong Bahru Flats Fail HIP Vote | #745,2025-11-26
181,China vs Japan LIVE: Japan-China Standoff over Disputed Senkaku Islands Escalates | Takaichi vs Xi,2025-12-02
182,China-Japan Tensions Flare Over Takaichi’s Taiwan Comments,2025-11-21
183,Japan-China Showdown LIVE: Missile Deployment Near Taiwan Sparks Fears of War | WION,2025-11-27
184,HasanAbi on the China/Japan Situation,2025-11-30
185,"China Vows Japan Will ‘Pay Painful Price’, Trump Advises Takaichi to 'Temper the Tone’ on Taiwan |4K",2025-11-27
186,LIVE: China–Japan Rift Widens | Regional Security Concerns Rise as Diplomatic Clash Deepens,2025-11-24
187,China vs Japan: Is US backing Tensions Over Taiwan?,2025-11-27
188,Taiwan Readies ‘Unyielding’ Army As China Warns Japan of ‘Direct’ Hit Over Takaichi’s ‘Mistake’ | 4K,2025-12-03
189,Why China Is Escalating Pressure On Japan As Part Of 'Kill Chicken To Scare Monkey' Policy? Watch,2025-11-26
190,China’s 100-Ship Deployment Intensifies Rising Tensions With Japan and Taiwan,2025-12-05
191,Japan-China Clash | What Should Be Done?,2025-11-23
192,US Trains Troops In Japan Base Near Taiwan For China Attack As Tokyo-Beijing Engage In New Clash| 4K,2025-12-02
193,Do Japanese really want war with China?! I asked them about Taiwan.,2025-12-04
194,Taiwan Supports Japan Amid Diplomatic Row With China,2025-11-21
195,Show of Force: China Masses 100 Ships as Trump Backs Taiwan and Japan’s Takaichi | EP728,2025-12-05
196,China-Japan Tensions: Reports Suggest Trump Told Takaichi To Lower Volume On Taiwan | World DNA,2025-11-28
197,Japan initiates missile deployment on Yonaguni as China relations worsen,2025-11-24
198,LIVE: Trump Advises Japanese PM Sanae Takaichi Not to Provoke China Over Taiwan| Xi Jinping,2025-11-29
199,"China Calls for a China-Japan War, but They’re Doomed to Lose—Gamblers Never Win",2025-12-04
200,"China Slams Japan's ""Threat"" To Sink Aircraft Carrier, ""Fujian Will Prove Itself In Combat"" | 4k",2025-11-30
201,China Japan Clashes LIVE: Military Tensions Flare Over Disputed Islands | Vantage with Palki Sharma,2025-12-04
202,"JAPAN’S BIGGEST NIGHTMARE: China Buys Toyota, Honda & Nissan as Auto Market Collapses",2025-11-14
203,"Taiwan says Beijing weaponising trade, tourism amid China-Japan row | East Asia Tonight (Nov 20)",2025-11-20
204,Tokyo's Stunning Claim: Xi's J-15 Jets Locked 'Weapons Radar' On Japan's F-15s Amid Taiwan Tensions,2025-12-07
205,China is Censoring Japanese Artists even in the middle of their performance! #onepiece #jpop #china,2025-12-03
206,"“If Japan Dares to Intervene…” China Tells PM Takaichi To Retract ""Egregious"" Taiwan Remark | 4K",2025-11-13
207,"China Vs Japan Over Taiwan Heats Up: Furious Xi Dares Takaichi With This Warning, Beijing Says...",2025-11-27
208,Why Is Taiwan Putting China and Japan on Edge? #taiwan #china #japan,2025-11-18
209,Takaichi shreds legacy of China-Japan diplomacy,2025-11-22
210,LIVE: China-Japan ALL-OUT War Soon? Japan PM Takaichi DARES Xi Jinping over Taiwan,2025-11-25
211,"China’s Japan meltdown: The threat, the silence — and the backfire",2025-11-20
212,"How Does the Alliance Manage China, Japan, and Russia Relations? | ROK-U.S. Strategic Forum 2025",2025-12-05
213,BREAKING: China Warns of Force as Tensions Rise with Japan,2025-11-28
214,Japan Plans Missile Export to Philippines While China Reacts Fiercely,2025-12-01
215,Einar Tangen: The U.S. Instigates Japan-China Conflict,2025-11-30
216,"Japan, Taiwan Monitoring China's Increased Maritime Activities｜TaiwanPlus News",2025-12-06
217,Japan seeks to calm escalating row with China over Taiwan | REUTERS,2025-11-17
218,BREAKING: Japan and China Tensions Rise After Taiwan stance,2025-11-26
219,China Vs Japan Over Taiwan Now: Watch | War Of Words After 'Cut Off Dirty Head' Shocker Signals...,2025-11-12
220,"Takaichi Faces Xi's Wrath: China Sets The Record Straight For Japan with ‘Behave!’, Cancels G20 Meet",2025-11-21
221,"“Far From Adequate” — China Rejects Takaichi’s Taiwan Remarks, Warns Japan’s Stance ""Unacceptable""",2025-12-04
222,This anti-China troll from Japan failed spectacularly!,2025-12-04
223,'KILL AMERICANS': Chang sounds alarm on how China uses US technology,2025-12-01
224,China Cuts Off Japan’s Lifeline - After Japan Blocks 110 Chinese Tech Companies,2025-11-25
225,Video of Japan envoy’s ‘bow’ to Chinese counterpart sparks complaint,2025-11-21
226,China-Japan Conflict Heats Up! Chinese Extremism and Disruptive Behavior Spark Outrage in Japan,2025-11-19
227,"Japan vs China LIVE | Japan-China Row Over Taiwan: Flights Cancelled, Films Delayed | Palki Sharma",2025-11-19
228,"China-Japan Spat Flares: Hong Kong ‘Corners’ PM Takaichi, Freezes Ties After Taiwan ‘Explosion’",2025-11-24
229,China-Japan Taiwan Tensions Escalate | Regional Stakes Rise Amid Diplomatic Standoff,2025-11-22
230,Japan Threatens To ATTACK China,2025-11-12
231,BREAKING: China Challenges Japan’s Conduct After Radar Dispute,2025-12-09
232,China Slams Japan Over ‘Consistent Position’ On Taiwan: “Won’t Get Away With It”,2025-11-26
233,China Issued a Threat to Japan.,2025-11-15
234,"Japan Plans Missile Unit on Yonaguni, Russia Issues Warning | wion",2025-11-28
235,How Taiwan comments ignited a China–Japan clash | Senkaku/Diaoyu Islands Standoff,2025-12-03
236,What would happen if Japan and China went to war?  #unitedstates  #history #geohistory #japan,2025-11-15
237,UN reiterates one-China position after Japan PM's Taiwan remarks,2025-11-18
238,Japan Accuses Chinese Jets of Locking Fire-Control Radar on Its Jets | World DNA News,2025-12-08
239,"Japan Deploys Missiles Near Taiwan, China Fumes at Attempt to “Provoke Military Confrontation” |4K",2025-11-24
240,China-Japan Tensions Escalate As Takaichi's Remarks Labelled 'Provocative' | WION World DNA,2025-11-20
241,JAPAN und CHINA STEHEN SICH WEGEN TAIWAN GEGENÜBER: Was haben die vor? | @VisualPolitikDE,2025-12-09
242,Trump’s Surprise Call to Japan PM Takaichi raise China Tensions,2025-11-25
243,China-Japan tensions mount over Takaichi's remarks on Taiwan,2025-11-18
244,China-Japan fallout continues,2025-11-26
245,Japan-China spat: Tourism hit badly,2025-11-20
246,"LIVE | New Japan-China Face Off Around Senkaku Island Near Taiwan, Xi Dares Takaichi With Invasion?",2025-12-03
247,Japan PM Takaichi's BIG MESSAGE To Xi Jinping At G20 Amid Escalating China-Japan Tensions,2025-11-21
248,The End of Japan’s Pacifist Dream? | Documentary World View - AT,2025-11-27
249,Japan is very mad at China for rhetoric in reference to Taiwan,2025-11-14
250,Trump-Xi Call & Taiwan Tensions: Decoding US-China-Japan Dynamics,2025-11-27
251,China: Japan's weapons deployment plan 'extremely dangerous',2025-11-25
252,South China Sea EXPLODES: China & Japan CLASH over Miyako Islands| Taiwan Tensions SOAR| All-Out WAR,2025-12-08
253,"12 China-Japan flight routes canceled amid tensions over Takaichi, impacting over 540,000 bookings",2025-11-25
254,"China-Japan Tensions: Japan Will Pay 'Painful Price' If Steps Out Of Line Over Taiwan, China says",2025-11-27
255,China-Japan fallout continues as Takaichi refuses to backdown,2025-11-26
256,1937-1941 : Japan's war in China  | PURE WW2,2025-11-27
257,China-Japan Diplomatic tension| Pakistan Blast| China Coast Guard| East China Sea| NewsX World,2025-11-16
258,China -Japan Fighat 😲 |#china #japan #xijinping #takaichi #taiwan #geopolitics,2025-12-01
259,Japan vs China: The Hidden Truth About Japan’s “No-Army” Defence! | Explained by Ankit Awasthi Sir,2025-11-19
260,Xi 'Teases' Japan On War: Chinese Cutters Storm Into Taiwan Waters For Showdown | 'GO AWAY ELSE...',2025-11-23
261,Analysis: US Approves Taiwan Arms Deal as China-Japan Tensions Rise | Taiwan Talks,2025-11-24
262,Breaking: Sanae Takaichi Acknowledges Taiwan Belongs to China,2025-12-03
263,Is China Better Than Japan?,2025-11-30
264,"Japan and Taiwan Companies Flee China Together! Canon Shuts Factory, Foxconn Lays Off 100,000",2025-11-30
265,"East Asia on alert: China, Japan confrontation deepens",2025-11-26
266,China urges Japan to retract Taiwan remarks,2025-11-18
267,Takaichi Says Japan Keeps All Dialogue Channels Open With China,2025-11-24
268,China Japan Clashes LIVE: Military Tensions Flare Over Disputed Islands | Vantage with Palki Sharma,2025-12-04
269,चीन ने धमकाया जापान को !#youtubeshorts #shortvideo #viral #politics #japan #china #trending #taiwan,2025-12-09
270,"China at Japan, muling nagkainitan sa pinag-aagawang teritoryo",2025-12-02
271,"China-Japan Showdown LIVE: Explosive Taiwan Clash Spirals; Airlines, Films Caught In Fallout | WION",2025-11-20
272,"200secs! In rebuke, Mao Ning cites four key China-Japan documents against 'overreaction' allegations",2025-11-17
273,GLOBALink | Japanese take to streets showing anger with PM Takaichi's erroneous Taiwan remarks,2025-11-29
274,Japan Should Take China’s Retaliatory Warning Seriously,2025-11-18
275,China Vs Japan Tensions Escalate Over Disputed Island In East China Sea; Conflicting Reports Surface,2025-12-03
276,Japan Without Chinese Tourists Now!? Travel Chance Has Come Before the Christmas! Ep.612,2025-11-26
277,Japan Declares Crypto War on China🚨Trump Backs Ripple vs Banks🔥,2025-11-17
278,Is Japan Really Attacking China?,2025-11-15
279,Japan Warns China: जापान-चीन में जंग पक्की! Breaking News | Fighter Jet Conflict |Taiwan Tension War,2025-12-07
280,"Putin smacked NATO, Ukr troops withdraw, China's Jets lock on Japan, Europe buys RUS sanctioned wood",2025-12-08
281,Rising Tensions between Japan & China Over Taiwan #china #japan #taiwan #usa #ytshorts,2025-11-20
282,"China के खिलाफ सेना उतारेगा Japan, भड़के Xi Jinping, Taiwan पर हमला?|Duniyadari",2025-11-20
283,Why Japan Can’t Stop China’s Unification,2025-11-22
