序号,名称,发布时间,likes
26,Japan Says It Is ‘Closely Monitoring’ Chinese Military Movements in Region | APT,2025-12-05,322
27,"As France Threatens To CANCEL China's Exports, Japan Begins To Trigger U.S. Bond Crash",2025-12-09,201
28,China vs Japan: The Senkaku Islands Naval Standoff EXPLAINED #shorts,2025-12-06,412
29,"Xi Goes To War? China 'Locks Radar' On Japan F-15s, 'Fires Flares' At Philippine Jet | Takaichi | 4K",2025-12-07,273
30,China threatens more countermeasures over Japan PM's Taiwan remarks | The World | ABC NEWS,2025-11-19,222
31,Japan Vs China Air Battle Begins? Takaechi's Jets Roar To Intercept 'Xi's Drones' | Taiwan Tensions,2025-12-01,225
32,China-Japan Tensions: China Asks Japan to Take Concrete Steps to Stabilise Bilateral Ties | WION,2025-11-22,113
33,How Did China React to Japan’s Warning?,2025-11-18,46
34,China–Japan Tension Rises… and Australia Steps In!,2025-12-09,277
35,Japan’s Missile Shift Sparks Fresh Questions Over China–Taiwan Tensions | Japan China News | 4K,2025-11-25,444
36,China-Japan Standoff: Military Tensions Flare Over Disputed Islands | Vantage with Palki Sharma,2025-12-02,31
37,Japan-China tensions spill over to Japanese seafood industry,2025-11-20,430
38,China-Japan Tensions | China Liaoning Carrier Launches 100 Aircraft Near Japan After Radar Threat,2025-12-08,414
39,China-Japan feud intensifies: Row affecting businesses in both countries,2025-11-21,138
40,China–Japan Clash Erupts Over Takaichi’s Taiwan Remark,2025-11-18,316
41,"As China-Japan spat escalates, Japan and Taiwan issue warnings",2025-11-19,82
42,China: Japan Will Suffer ‘Crushing Defeat’,2025-11-14,379
43,"China Targets Japanese Planes Near Okinawa, Tensions Escalate Across East Asia | 4K",2025-12-07,350
44,Japan & US Challenging China’s Red Lines over Taiwan 🇯🇵🇺🇸👉🇨🇳🔥 / Parody,2025-11-15,177
45,China says 'no market' for Japan seafood imports amid Taiwan spat • FRANCE 24 English,2025-11-19,34
46,China-Japan Diplomatic Row Starts To Take an Economic Toll｜TaiwanPlus News,2025-11-18,486
47,China-Japan Fight Over Taiwan Hits UN Stage: Explained | Sanae Takaichi News,2025-11-24,223
48,Japan warning its citizens to use precautions in China,2025-11-18,447
49,Japan Pushes China Too Far: Takaichi Starts Taiwan Fury,2025-12-04,339
50,China vs Japan: On the High Seas | Vantage with Palki Sharma,2025-12-02,389
51,The fallout continues over Japan PM's Taiwan comments as China refuses to back down,2025-11-27,380
52,China summons Japan ambassador as war of words over Taiwan drags on | BBC News,2025-11-14,97
53,Is Japan's new PM Takaichi about to pick a fight with China over Taiwan? | DW News,2025-11-12,182
54,PM Lawrence Wong on Japan-China tensions,2025-11-20,233
55,China-Japan Tensions: China Says Its Coast Guard Vessels Conduct a 'Rights Enforcement Patrol',2025-11-16,249
56,China says Japan “crossed a red line” with Taiwan military intervention remarks,2025-11-24,21
57,Tensions escalate as Japan's new PM sparks war of words with China over Taiwan remarks,2025-11-17,273
58,‘Prepared to use force’: Tensions escalate between China and Japan,2025-11-28,77
59,Will China nuke Japan over Taiwan?,2025-11-28,372
60,Japan's new prime minister clashes with China over Taiwan comments,2025-11-18,342
61,China: 'Japan Crossed Red Line' | Takaichi Urges Understanding & Cooperation | WION,2025-11-24,462
62,China issued a severe warning that Japan crossed the line with talk of Taiwan intervention,2025-11-24,373
63,Victor Gao: China 'should never allow' Japan to return to militarist past,2025-11-25,183
64,China-Japan Tensions: Chinese FM Wang Yi's Fresh Accusation Against Japanese PM Takaichi | WION,2025-11-24,484
65,Would Japan Save Taiwan from China?,2025-11-27,205
66,"China Gives 'Final Notice' To Japan's Takaichi To Retract Taiwan Remark, Xi Readies Warships",2025-12-05,163
67,Can Japan’s tourism industry survive China tensions?,2025-11-19,453
68,Japan's tourism industry rattled by China travel boycott | The World | ABC NEWS,2025-11-26,185
69,All Eyes on Japan and China Tensions After Taiwan Remark | Big Take,2025-11-25,38
70,China & Japan Are In A War Of Words Over Taiwan | China-Japan Tensions | N18G,2025-11-17,235
71,"How one Taiwan comment reignited a fiery China-Japan feud - Asia Specific podcast, BBC World Service",2025-11-26,398
72,China Warns Japan: “Could Become Battlefield” Amid Rising Tensions | WION,2025-11-17,94
73,China-Japan Push Region to Brink of All-Out War | GRAVITAS HIGHTLIGHTS,2025-12-09,231
74,Japan sends diplomat amid rift over Takaichi's Taiwan commentsーNHK WORLD-JAPAN NEWS,2025-11-17,65
75,China-Japan Tensions: Takaichi Softens Tone As Beijing Demands Answers | US Steps In,2025-11-26,343
76,Tensions between Japan-China escalate following Japan PM's remark on Taiwan,2025-11-18,238
77,China–Japan Clash Erupts Over Takaichi’s Taiwan Remark,2025-11-18,165
78,"China Warns Japan's New PM Over Remarks On Taiwan, Trade Relations At Stake | Sanae Takaichi",2025-11-22,113
79,China–Japan Tensions Spike As Tokyo Accuses Beijing Of Radar Lock On F-15 Jets Near Okinawa | 4K,2025-12-08,282
80,China LOCKS Missile On Japanese Military!! Panic in Asia!! By Prashant Dhawan,2025-12-07,335
81,China-Japan tensions: Takaichi says encounters with Chinese jets 'extremely regrettable',2025-12-07,471
82,China Escalates Tensions With Japan After Diplomat Threatens Japanese PM,2025-11-14,219
83,Will a fishing boat spark a crisis between China and Japan? | About That,2025-12-03,80
84,"Japan Vs China: Takaichi Softens After G20 Snub But Xi Busts Tokyo's Lies, Issues 'War' Warning?",2025-11-25,417
85,Is East Asia Entering A New Security Flashpoint As China Pushes Back Against Japan on Taiwan? | 4K,2025-11-18,315
86,Xi STUNNED As Taiwan Declares 'No Return To China'; Japan 'SCHOOLS' Beijing | Big War Looms?,2025-11-26,350
87,BREAKING: China Demands Japan Take Action on Taiwan Remarks or Face Worse Relations,2025-11-22,48
88,"Tokyo Scrambles Fighter Jets After 'Chinese' Drone Spotted Near...; China-Japan Tensions, Taiwan",2025-11-26,156
89,"United States, Taiwan show support for Japan as Japan-China relations worsen",2025-11-21,384
90,China-Japan tensions: The latest developments,2025-11-22,416
91,Japan envoy in Beijing to ease tensions as China repeats call for Takaichi to retract Taiwan remarks,2025-11-18,218
92,China Threatens Japan Over Taiwan: Citizens Told to Avoid Visiting | WION,2025-11-14,403
93,China and Japan Trade Accusations Over Senkaku Waters as Territorial Tensions Rise,2025-12-02,421
94,The China-Japan Island Dispute Escalates: China Sends Another Letter To UN | WION,2025-12-02,194
95,"Senkaku Patrols, Travel Warning: China-Japan Row Over Taiwan Escalates | Vantage with Palki Sharma",2025-11-17,449
96,China-Japan Diplomatic Row Escalates ｜TaiwanPlus News,2025-11-15,144
97,China-Japan Row Shows No Signs of Letting Up｜TaiwanPlus News,2025-11-24,120
98,🚨 China vs Japan: Missile Locked! 😱🚀 #Shorts,2025-12-07,341
99,Why China Is Threatening Japan,2025-11-23,319
100,"Trump Warned Of Nuke War No One Can Escape; China, Japan Tensions Over Taiwan Send Shockwaves In US",2025-11-22,70
101,China–Japan Tensions Hit Tourism  | Wings S3E107,2025-11-30,417
102,China–Japan Tension in East China Sea | Radar Lock Incident Explained #southchinasea,2025-12-07,100
103,China-Japan Tensions: Japan's Worst Nightmare? China Sends Warships To Senkaku | WION Originals,2025-11-18,403
104,China vs Japan Clash EXPLODES: Chinese & Japanese Ships Clash In Disputed Island | Originals,2025-12-02,3
105,China demands Japan clarify Taiwan stance as tensions escalate,2025-11-27,399
106,China-Japan Spat Over Taiwan Escalates: Japan Slams China’s Travel Ban After Taiwan Comment Blow-Up,2025-11-17,394
107,"Shocking Truth: If China and Japan Go to War Again, 500 Million Chinese May Betray Their Country",2025-11-26,390
108,Putin Enters Japan-China Feud: Is Russia Preparing for a Confrontation with Japan?,2025-11-28,333
109,"China-Japan Tensions ""Will Not Escalate"", Says Ex-Ambassador to Tokyo | Firstpost Pov | N18G",2025-11-24,236
110,Wolf Warrior 2.0: China Escalates Threats as Japan Deploys Troops to Philippines | EP721,2025-11-20,353
111,China Coast Guard INVADES Japan's Waters — Then THIS Happened…,2025-11-29,138
112,"China is Winning the Economic War Against Japan, Anti-PM Protests Erupt | GRAVITAS Highlights",2025-11-21,391
113,China FM Warns Japan PM Takaichi Against Crossing ‘Critical Red Line’; Vows Military Retaliation,2025-11-23,278
114,China-Japan rivalry intensifies amid shifting alliances; pressure builds on U.S. and S. Korea,2025-12-01,229
115,China tells citizens not to visit Japan as Taiwan row grows • FRANCE 24 English,2025-11-15,253
116,"China Vs Japan Clash LIVE: China- Japan Tensions EXPLODE, Will There Be Another War? | WION",2025-11-22,284
117,Ties between China and Japan deteriorate following comments over Taiwan,2025-11-20,18
118,Japan Claims Chinese Ships Entered Its Territory Near Disputed Islands | Firstpost Live | N18G,2025-12-02,70
119,Japan Expels Two Chinese Ships After Disputed Waters Face-Off | China in Focus,2025-12-03,122
120,Conflict erupts after Chinese diplomat threatens Japan’s Prime Minister,2025-11-22,57
121,"China Issues ‘All-Out Warning’ To Japan, PM Takaichi’s Taiwan Remark Sparks Fury In Beijing | Watch",2025-11-13,220
122,China Threatens to 'make Japan a Battlefield' | GRAVITAS | WION,2025-11-17,334
123,Trump Advises Japan's Takaichi Not To Provoke China Over Taiwan | Firstpost America | N18G,2025-11-27,327
124,China Claims 'Harassment' By Japanese Jets; Beijing Urges Tokyo To ‘Cease Slander’,2025-12-07,236
125,The China-Japan Situation Just Took a Dark Turn...,2025-12-07,428
126,China-Japan Tensions: Tokyo Reacts To China's Travel Warning For Japan | WION News,2025-11-16,283
127,China Escalates Spat With Japan Over Comments Made About Taiwan,2025-11-17,39
128,China slams Japan's missile deployment to island near Taiwan | East Asia Tonight Nov 24,2025-11-24,383
129,China-Japan Tension Explained,2025-11-29,287
130,'You're misguided' – Victor Gao fires back on Japan's remilitarization debate,2025-12-06,317
131,China turns the economic screws on Japan | DW News,2025-11-20,283
132,A Deep Dive Into China–Japan Tensions| Shaun Rein,2025-12-04,277
133,"Putin Backs Xi As Japan Plans To Deploy Missiles Near Taiwan, Issues Warning To Trump & Takaichi",2025-11-28,45
134,Japan Prepares for War to Ends China's Biggest Hopes—China Ready to Attack | John Mearsheimer,2025-12-03,280
135,China Demands Japan’s Takaichi Retract Taiwan Comments as Tensions Spike | WION,2025-11-18,398
136,China-Japan spat: Coast guard vessels engaged in standoff around Senkaku Islands,2025-12-02,152
137,China | Japan | Fighterjet | ஜப்பான் விமானத்தை தாக்க முயன்ற சீன போர் விமானம்... கடும் கண்டனம்,2025-12-08,302
138,Chinese and Japanese Ships in Standoff Near Diaoyutai Islands｜TaiwanPlus News,2025-12-02,15
139,Australia Calls China’s Radar Lock on Japanese Jets “Concerning” in Tokyo Talks | APT,2025-12-07,174
140,"FINAL WARNING from TOKYO: China Witnesses POWER of Japan! 1,000+ Missiles Deployed 110km from Taiwan",2025-11-26,218
141,Japan Warns China: Will Tokyo Join a U.S. War Over Taiwan?,2025-11-26,492
142,China-Japan Tensions: China Sends Coast Guard Ships Near Japan-Administered Senkaku Islands | WION,2025-11-17,107
143,Singapore PM Calls for China–Japan Reconciliation While Ignoring Japan’s Military Buildup,2025-12-07,138
144,Watch This If You’re Confused About Why China & Japan Are Arguing,2025-11-24,204
145,Japan PM Takaichi holds call with Trump amid China dispute | REUTERS,2025-11-25,497
146,How Japan’s PM set off a diplomatic row between Beijing and Tokyo,2025-11-19,427
147,Japan Preparing For War — China Ready To Attack,2025-12-05,17
148,CHINA WARNS JAPAN: Xi Explodes Over Missile Threat Near Taiwan,2025-11-25,117
149,How Japan Is Becoming China's Worst Nightmare,2025-11-23,411
150,Xi Jinping To Declare War On Japan? How Taiwan Leader’s Sushi Lunch Ignited Firestorm In China,2025-11-21,29
151,"China Coast Guard Vessels Near Japan's Senkaku Island, Xi Sends Jets, Warships To Rattle Taiwan | 4K",2025-11-16,428
152,China-Japan Tensions Spike Over Taiwan | The China Show 11/17/2025,2025-11-17,140
153,"China Vs Japan War Countdown Begins? Tokyo Puts Missiles Near Taiwan, Beijing Breathes Fire | Watch",2025-11-24,459
154,"China-Japan tensions: Nearly 500,000 flights to Japan cancelled",2025-11-18,147
155,What’s behind the sudden China-Japan fallout?,2025-11-21,217
156,Xi’s Biggest Taiwan Revenge: China Just Annihilated Japan’s $1.4 Billion Seafood Empire Overnight?,2025-11-19,331
157,Japan-China: Japan PM Takaichi's Taiwan Warning Sparks Fierce Backlash from China | WION,2025-11-18,63
158,China-Japan Rift Widens Following Taiwan Remark; Beijing Starts To Patrol In Disputed Senkaru Waters,2025-11-16,279
159,"China-Japan tension: ""Everyone is saying it’s time to dial this down""",2025-11-23,253
160,Edge of Collapse—Taiwan Strait Tensions. #military #war #china #japan #map #history,2025-12-06,392
161,Discovering impact on Japan’s private sector as Japan-China tensions escalate,2025-11-18,499
162,China Furious as Japan PM Takaichi Labels Beijing a ‘Communist Dictatorship’,2025-12-08,332
163,Japan Sends Missiles Near Taiwan as China Reacts,2025-11-24,205
164,What's the US role in current Japan-China tensions?,2025-11-21,203
165,Why Japan is WORSE Than Israel - China Will NEVER Forgive!🇨🇳🇯🇵,2025-11-30,209
166,"China-Japan LIVE | Senkaku Patrols, Travel Warning: China-Japan Row Over Taiwan Escalates",2025-11-18,407
167,CHINA SLAMS JAPAN WITH BRUTAL Taiwan History Allegations; Declares 'Tokyo Has No Right To Comment',2025-11-20,160
168,Japan Threatens China Over Taiwan - Chinese Destroying Japanese Economy,2025-11-18,83
169,China & Japan Involved In A War Of Words Over Taiwan | Explained | 4K | N18G,2025-11-20,167
170,"Japan, China 'Clash' Near Disputed Islands As Xi & Takaichi Trade Barbs Over Tokyo's Taiwan Stance",2025-12-02,11
171,Japan Crosses China’s Red Line: Takaichi Ignites Firestorm Over Taiwan,2025-12-04,53
172,Japan threatens military intervention if China invades Taiwan,2025-11-18,45
173,Japan Seeks to Calm China After Taiwan Furor | The China Show 11/18/2025,2025-11-18,386
174,"Japan–China Row Over Taiwan Escalates: Flights Cancelled, Films Delayed | Vantage With Palki Sharma",2025-11-18,361
175,China-Japan spat hits Beijing’s Japanese restaurants as cancellations surge,2025-12-02,349
176,Why China’s Military Cannot Defeat Japan Alone?,2025-11-18,231
177,Taiwan president shows support for Tokyo with photo of sushi as China-Japan rift deepens,2025-11-20,359
178,The China-Japan-Taiwan Crisis Explained | Angelo Giuliano @Reporterfy,2025-11-20,80
179,China warns Japan it’s READY FOR WAR in explosive video as missile launchers moved near to Taiwan,2025-11-24,451
180,Backlash for PM Wong’s Comments on China-Japan Tension & Tiong Bahru Flats Fail HIP Vote | #745,2025-11-26,251
181,China vs Japan LIVE: Japan-China Standoff over Disputed Senkaku Islands Escalates | Takaichi vs Xi,2025-12-02,469
182,China-Japan Tensions Flare Over Takaichi’s Taiwan Comments,2025-11-21,76
183,Japan-China Showdown LIVE: Missile Deployment Near Taiwan Sparks Fears of War | WION,2025-11-27,249
184,HasanAbi on the China/Japan Situation,2025-11-30,348
185,"China Vows Japan Will ‘Pay Painful Price’, Trump Advises Takaichi to 'Temper the Tone’ on Taiwan |4K",2025-11-27,248
186,LIVE: China–Japan Rift Widens | Regional Security Concerns Rise as Diplomatic Clash Deepens,2025-11-24,223
187,China vs Japan: Is US backing Tensions Over Taiwan?,2025-11-27,83
188,Taiwan Readies ‘Unyielding’ Army As China Warns Japan of ‘Direct’ Hit Over Takaichi’s ‘Mistake’ | 4K,2025-12-03,190
189,Why China Is Escalating Pressure On Japan As Part Of 'Kill Chicken To Scare Monkey' Policy? Watch,2025-11-26,119
190,China’s 100-Ship Deployment Intensifies Rising Tensions With Japan and Taiwan,2025-12-05,151
191,Japan-China Clash | What Should Be Done?,2025-11-23,342
192,US Trains Troops In Japan Base Near Taiwan For China Attack As Tokyo-Beijing Engage In New Clash| 4K,2025-12-02,315
193,Do Japanese really want war with China?! I asked them about Taiwan.,2025-12-04,304
194,Taiwan Supports Japan Amid Diplomatic Row With China,2025-11-21,181
195,Show of Force: China Masses 100 Ships as Trump Backs Taiwan and Japan’s Takaichi | EP728,2025-12-05,480
196,China-Japan Tensions: Reports Suggest Trump Told Takaichi To Lower Volume On Taiwan | World DNA,2025-11-28,43
197,Japan initiates missile deployment on Yonaguni as China relations worsen,2025-11-24,171
198,LIVE: Trump Advises Japanese PM Sanae Takaichi Not to Provoke China Over Taiwan| Xi Jinping,2025-11-29,59
199,"China Calls for a China-Japan War, but They’re Doomed to Lose—Gamblers Never Win",2025-12-04,169
200,"China Slams Japan's ""Threat"" To Sink Aircraft Carrier, ""Fujian Will Prove Itself In Combat"" | 4k",2025-11-30,481
201,China Japan Clashes LIVE: Military Tensions Flare Over Disputed Islands | Vantage with Palki Sharma,2025-12-04,183
202,"JAPAN’S BIGGEST NIGHTMARE: China Buys Toyota, Honda & Nissan as Auto Market Collapses",2025-11-14,455
203,"Taiwan says Beijing weaponising trade, tourism amid China-Japan row | East Asia Tonight (Nov 20)",2025-11-20,248
204,Tokyo's Stunning Claim: Xi's J-15 Jets Locked 'Weapons Radar' On Japan's F-15s Amid Taiwan Tensions,2025-12-07,350
205,China is Censoring Japanese Artists even in the middle of their performance! #onepiece #jpop #china,2025-12-03,229
206,"“If Japan Dares to Intervene…” China Tells PM Takaichi To Retract ""Egregious"" Taiwan Remark | 4K",2025-11-13,133
207,"China Vs Japan Over Taiwan Heats Up: Furious Xi Dares Takaichi With This Warning, Beijing Says...",2025-11-27,382
208,Why Is Taiwan Putting China and Japan on Edge? #taiwan #china #japan,2025-11-18,485
209,Takaichi shreds legacy of China-Japan diplomacy,2025-11-22,132
210,LIVE: China-Japan ALL-OUT War Soon? Japan PM Takaichi DARES Xi Jinping over Taiwan,2025-11-25,390
211,"China’s Japan meltdown: The threat, the silence — and the backfire",2025-11-20,130
212,"How Does the Alliance Manage China, Japan, and Russia Relations? | ROK-U.S. Strategic Forum 2025",2025-12-05,359
213,BREAKING: China Warns of Force as Tensions Rise with Japan,2025-11-28,395
214,Japan Plans Missile Export to Philippines While China Reacts Fiercely,2025-12-01,225
215,Einar Tangen: The U.S. Instigates Japan-China Conflict,2025-11-30,369
216,"Japan, Taiwan Monitoring China's Increased Maritime Activities｜TaiwanPlus News",2025-12-06,136
217,Japan seeks to calm escalating row with China over Taiwan | REUTERS,2025-11-17,39
218,BREAKING: Japan and China Tensions Rise After Taiwan stance,2025-11-26,48
219,China Vs Japan Over Taiwan Now: Watch | War Of Words After 'Cut Off Dirty Head' Shocker Signals...,2025-11-12,223
220,"Takaichi Faces Xi's Wrath: China Sets The Record Straight For Japan with ‘Behave!’, Cancels G20 Meet",2025-11-21,452
221,"“Far From Adequate” — China Rejects Takaichi’s Taiwan Remarks, Warns Japan’s Stance ""Unacceptable""",2025-12-04,63
222,This anti-China troll from Japan failed spectacularly!,2025-12-04,228
223,'KILL AMERICANS': Chang sounds alarm on how China uses US technology,2025-12-01,352
224,China Cuts Off Japan’s Lifeline - After Japan Blocks 110 Chinese Tech Companies,2025-11-25,101
225,Video of Japan envoy’s ‘bow’ to Chinese counterpart sparks complaint,2025-11-21,361
226,China-Japan Conflict Heats Up! Chinese Extremism and Disruptive Behavior Spark Outrage in Japan,2025-11-19,153
227,"Japan vs China LIVE | Japan-China Row Over Taiwan: Flights Cancelled, Films Delayed | Palki Sharma",2025-11-19,405
228,"China-Japan Spat Flares: Hong Kong ‘Corners’ PM Takaichi, Freezes Ties After Taiwan ‘Explosion’",2025-11-24,290
229,China-Japan Taiwan Tensions Escalate | Regional Stakes Rise Amid Diplomatic Standoff,2025-11-22,274
230,Japan Threatens To ATTACK China,2025-11-12,88
231,BREAKING: China Challenges Japan’s Conduct After Radar Dispute,2025-12-09,232
232,China Slams Japan Over ‘Consistent Position’ On Taiwan: “Won’t Get Away With It”,2025-11-26,429
233,China Issued a Threat to Japan.,2025-11-15,9
234,"Japan Plans Missile Unit on Yonaguni, Russia Issues Warning | wion",2025-11-28,380
235,How Taiwan comments ignited a China–Japan clash | Senkaku/Diaoyu Islands Standoff,2025-12-03,246
236,What would happen if Japan and China went to war?  #unitedstates  #history #geohistory #japan,2025-11-15,360
237,UN reiterates one-China position after Japan PM's Taiwan remarks,2025-11-18,332
238,Japan Accuses Chinese Jets of Locking Fire-Control Radar on Its Jets | World DNA News,2025-12-08,216
239,"Japan Deploys Missiles Near Taiwan, China Fumes at Attempt to “Provoke Military Confrontation” |4K",2025-11-24,154
240,China-Japan Tensions Escalate As Takaichi's Remarks Labelled 'Provocative' | WION World DNA,2025-11-20,314
241,JAPAN und CHINA STEHEN SICH WEGEN TAIWAN GEGENÜBER: Was haben die vor? | @VisualPolitikDE,2025-12-09,70
242,Trump’s Surprise Call to Japan PM Takaichi raise China Tensions,2025-11-25,292
243,China-Japan tensions mount over Takaichi's remarks on Taiwan,2025-11-18,47
244,China-Japan fallout continues,2025-11-26,325
245,Japan-China spat: Tourism hit badly,2025-11-20,315
246,"LIVE | New Japan-China Face Off Around Senkaku Island Near Taiwan, Xi Dares Takaichi With Invasion?",2025-12-03,42
247,Japan PM Takaichi's BIG MESSAGE To Xi Jinping At G20 Amid Escalating China-Japan Tensions,2025-11-21,379
248,The End of Japan’s Pacifist Dream? | Documentary World View - AT,2025-11-27,208
249,Japan is very mad at China for rhetoric in reference to Taiwan,2025-11-14,394
250,Trump-Xi Call & Taiwan Tensions: Decoding US-China-Japan Dynamics,2025-11-27,20
251,China: Japan's weapons deployment plan 'extremely dangerous',2025-11-25,89
252,South China Sea EXPLODES: China & Japan CLASH over Miyako Islands| Taiwan Tensions SOAR| All-Out WAR,2025-12-08,247
253,"12 China-Japan flight routes canceled amid tensions over Takaichi, impacting over 540,000 bookings",2025-11-25,94
254,"China-Japan Tensions: Japan Will Pay 'Painful Price' If Steps Out Of Line Over Taiwan, China says",2025-11-27,165
255,China-Japan fallout continues as Takaichi refuses to backdown,2025-11-26,330
256,1937-1941 : Japan's war in China  | PURE WW2,2025-11-27,72
257,China-Japan Diplomatic tension| Pakistan Blast| China Coast Guard| East China Sea| NewsX World,2025-11-16,339
258,China -Japan Fighat 😲 |#china #japan #xijinping #takaichi #taiwan #geopolitics,2025-12-01,51
259,Japan vs China: The Hidden Truth About Japan’s “No-Army” Defence! | Explained by Ankit Awasthi Sir,2025-11-19,87
260,Xi 'Teases' Japan On War: Chinese Cutters Storm Into Taiwan Waters For Showdown | 'GO AWAY ELSE...',2025-11-23,294
261,Analysis: US Approves Taiwan Arms Deal as China-Japan Tensions Rise | Taiwan Talks,2025-11-24,397
262,Breaking: Sanae Takaichi Acknowledges Taiwan Belongs to China,2025-12-03,85
263,Is China Better Than Japan?,2025-11-30,150
264,"Japan and Taiwan Companies Flee China Together! Canon Shuts Factory, Foxconn Lays Off 100,000",2025-11-30,463
265,"East Asia on alert: China, Japan confrontation deepens",2025-11-26,495
266,China urges Japan to retract Taiwan remarks,2025-11-18,291
267,Takaichi Says Japan Keeps All Dialogue Channels Open With China,2025-11-24,223
268,China Japan Clashes LIVE: Military Tensions Flare Over Disputed Islands | Vantage with Palki Sharma,2025-12-04,173
269,चीन ने धमकाया जापान को !#youtubeshorts #shortvideo #viral #politics #japan #china #trending #taiwan,2025-12-09,306
270,"China at Japan, muling nagkainitan sa pinag-aagawang teritoryo",2025-12-02,296
271,"China-Japan Showdown LIVE: Explosive Taiwan Clash Spirals; Airlines, Films Caught In Fallout | WION",2025-11-20,147
272,"200secs! In rebuke, Mao Ning cites four key China-Japan documents against 'overreaction' allegations",2025-11-17,11
273,GLOBALink | Japanese take to streets showing anger with PM Takaichi's erroneous Taiwan remarks,2025-11-29,75
274,Japan Should Take China’s Retaliatory Warning Seriously,2025-11-18,480
275,China Vs Japan Tensions Escalate Over Disputed Island In East China Sea; Conflicting Reports Surface,2025-12-03,209
276,Japan Without Chinese Tourists Now!? Travel Chance Has Come Before the Christmas! Ep.612,2025-11-26,241
277,Japan Declares Crypto War on China🚨Trump Backs Ripple vs Banks🔥,2025-11-17,234
278,Is Japan Really Attacking China?,2025-11-15,392
279,Japan Warns China: जापान-चीन में जंग पक्की! Breaking News | Fighter Jet Conflict |Taiwan Tension War,2025-12-07,32
280,"Putin smacked NATO, Ukr troops withdraw, China's Jets lock on Japan, Europe buys RUS sanctioned wood",2025-12-08,41
281,Rising Tensions between Japan & China Over Taiwan #china #japan #taiwan #usa #ytshorts,2025-11-20,138
282,"China के खिलाफ सेना उतारेगा Japan, भड़के Xi Jinping, Taiwan पर हमला?|Duniyadari",2025-11-20,243
283,Why Japan Can’t Stop China’s Unification,2025-11-22,336
